City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Yellowknife,CA,75.72,broken clouds,62.456,-114.3525,The Explorer Hotel
6,Atuona,PF,78.26,broken clouds,-9.8,-139.0333,Villa Enata
7,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
11,Iberia,US,88.05,thunderstorm,29.9502,-91.7507,back to back rv park
12,Wewak,PG,81.1,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
20,Port Blair,IN,78.55,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
25,Noumea,NC,75.18,clear sky,-22.2763,166.4572,Hôtel Le Lagon
33,Bethel,US,75.36,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
35,Vieste,IT,80.11,overcast clouds,41.8825,16.175,Hotel Falcone
36,Camocim,BR,76.15,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
44,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
46,Waingapu,ID,78.06,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
47,Kavieng,PG,82.76,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
55,Namatanai,PG,82.53,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
57,Road Town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
63,Batticaloa,LK,78.21,overcast clouds,7.7102,81.6924,Grand Star Guest House
64,Hithadhoo,MV,82.87,broken clouds,-0.6,73.0833,Scoop Guest House
71,Dalton,US,85.51,clear sky,34.7698,-84.9702,Hampton Inn Dalton
79,Kavaratti,IN,82.74,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
81,Sarh,TD,80.51,clear sky,9.1429,18.3923,Domicile 1sur le goudron
82,Kutum,SD,80.85,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
83,Bosaso,SO,86.76,overcast clouds,11.2842,49.1816,Red Sea Hotel
85,Talaja,IN,82.96,scattered clouds,21.35,72.05,Tofik Memon
94,Ubala,CO,75.69,broken clouds,4.7478,-72.5369,HATO SANTA LETICIA
99,Lompoc,US,88.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
101,Bengkulu,ID,76.8,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
106,San Jose,US,81.68,broken clouds,37.3394,-121.895,The Westin San Jose
114,Sur,OM,85.89,clear sky,22.5667,59.5289,Sur Plaza Hotel
115,Monrovia,LR,78.91,overcast clouds,6.3005,-10.7969,Sunset Inn
116,Mitsamiouli,KM,78.06,light rain,-11.3847,43.2844,Foyer ADM
118,Faanui,PF,79.43,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Buraydah,SA,82.85,few clouds,26.326,43.975,Mövenpick Qassim
122,Butaritari,KI,81.59,broken clouds,3.0707,172.7902,Isles Sunset Lodge
126,Roura,GF,78.71,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
129,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
131,Coahuayana,MX,84.54,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
133,Mana,GF,77.4,moderate rain,5.6592,-53.7767,LE SAMANA
135,Buala,SB,83.1,light rain,-8.145,159.5921,Maringe Lagoon Lodge
136,Hilo,US,88.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
137,Balikpapan,ID,76.19,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
141,Dingle,PH,78.19,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
145,Kupang,ID,77.65,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
147,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
148,Bani,DO,85.44,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
149,Holguin,CU,87.3,broken clouds,20.8872,-76.2631,Casa Cables. Holguín
152,Hambantota,LK,78.08,moderate rain,6.1241,81.1185,Bungalow 63
155,Taranagar,IN,86.67,clear sky,28.6709,75.0351,Jyani Plaza
160,Victoria,HK,86.18,overcast clouds,22.2855,114.1577,Mini Central
163,Pacific Grove,US,76.68,scattered clouds,36.6177,-121.9166,Lovers Point Inn
164,Pochutla,MX,85.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
166,Cockburn Town,TC,84.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
169,Hamilton,US,83.17,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
172,Tual,ID,82.29,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
179,Abasolo,MX,87.53,broken clouds,20.45,-101.5167,Hotel y Parque Acuático La Caldera
181,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
187,Am Timan,TD,83.68,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
194,Palmerston,AU,78.93,few clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
198,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
200,Vanimo,PG,80.11,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
213,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
215,Lorengau,PG,83.03,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
223,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
228,Yaring,TH,76.5,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
231,Touros,BR,78.19,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
237,Parnamirim,BR,78.69,broken clouds,-5.9156,-35.2628,Pousada Joaci
238,Nicoya,CR,79.27,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
239,Tevaitoa,PF,79.45,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
240,Perry,US,81.32,broken clouds,37.2506,-83.1999,Hampton Inn & Suites Hazard
243,Laguna,US,81.14,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
246,Srandakan,ID,75.81,overcast clouds,-7.9386,110.2506,Puri Brata
250,Ukiah,US,76.44,few clouds,39.1502,-123.2078,Hampton Inn Ukiah
251,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
258,Itarema,BR,76.66,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
267,Russell,US,85.6,clear sky,32.3502,-85.1999,Macs
269,Hun,LY,79.11,clear sky,29.1268,15.9477,Alrwasi Hotel
271,Sao Filipe,CV,75.83,clear sky,14.8961,-24.4956,Hotel Xaguate
