City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,75.72,25,75,17.27,broken clouds
1,Ushuaia,AR,-54.8,-68.3,33.66,86,84,12.26,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,48.31,49,0,18.41,clear sky
3,Saint-Philippe,RE,-21.3585,55.7679,69.39,70,51,9.08,broken clouds
4,Busselton,AU,-33.65,115.3333,54.5,72,100,9.26,overcast clouds
5,Kaspiysk,RU,42.8816,47.6392,71.78,68,78,13.42,broken clouds
6,Atuona,PF,-9.8,-139.0333,78.26,73,62,15.21,broken clouds
7,Kapaa,US,22.0752,-159.319,82.38,71,75,11.5,broken clouds
8,Vaini,TO,-21.2,-175.2,80.76,74,20,4.61,few clouds
9,Eureka,US,40.8021,-124.1637,67.39,90,78,8.43,broken clouds
10,Saskylakh,RU,71.9167,114.0833,35.38,60,29,9.42,scattered clouds
11,Iberia,US,29.9502,-91.7507,88.05,65,0,9.22,thunderstorm
12,Wewak,PG,-3.5534,143.6268,81.1,77,39,4.36,scattered clouds
13,Lebu,CL,-37.6167,-73.65,52.12,93,100,6.89,overcast clouds
14,Cape Town,ZA,-33.9258,18.4232,65.12,69,0,3.44,clear sky
15,Newport,GB,51.5877,-2.9984,54.77,92,100,6.42,overcast clouds
16,Hasaki,JP,35.7333,140.8333,61.2,85,100,11.56,light rain
17,Caririacu,BR,-7.0422,-39.2836,73.49,78,40,8.05,scattered clouds
18,Mataura,NZ,-46.1927,168.8643,45.48,74,0,3.27,clear sky
19,Albany,US,42.6001,-73.9662,74.05,42,11,6.73,few clouds
20,Port Blair,IN,11.6667,92.75,78.55,87,100,9.24,overcast clouds
21,Tuktoyaktuk,CA,69.4541,-133.0374,32.41,74,36,8.57,scattered clouds
22,Souillac,MU,-20.5167,57.5167,73.78,78,75,8.05,light rain
23,Pareora,NZ,-44.4871,171.2132,55.18,92,24,2.01,few clouds
24,Ancud,CL,-41.8697,-73.8203,48.29,90,100,21.65,moderate rain
25,Noumea,NC,-22.2763,166.4572,75.18,99,0,1.63,clear sky
26,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,60,0,8.05,clear sky
27,Naryan-Mar,RU,67.6713,53.087,50.2,51,12,11.83,few clouds
28,Hermanus,ZA,-34.4187,19.2345,56.8,56,18,8.23,few clouds
29,Udachnyy,RU,66.4167,112.4,46.45,75,100,11.03,overcast clouds
30,Rikitea,PF,-23.1203,-134.9692,73.58,78,17,17.72,light rain
31,Tuatapere,NZ,-46.1333,167.6833,51.35,81,18,5.53,few clouds
32,New Norfolk,AU,-42.7826,147.0587,51.71,79,97,5.01,overcast clouds
33,Bethel,US,41.3712,-73.414,75.36,34,0,9.22,clear sky
34,Glushkovo,RU,51.3392,34.6328,50.68,91,0,8.01,clear sky
35,Vieste,IT,41.8825,16.175,80.11,52,96,11.43,overcast clouds
36,Camocim,BR,-2.9022,-40.8411,76.15,91,74,10.85,broken clouds
37,Ponta Do Sol,PT,32.6667,-17.1,66.83,78,9,2.51,clear sky
38,Rawson,AR,-43.3002,-65.1023,51.33,48,100,8.1,overcast clouds
39,Dikson,RU,73.5069,80.5464,30.04,97,100,7.85,snow
40,Rocha,UY,-34.4833,-54.3333,53.08,93,100,2.68,overcast clouds
41,Chokurdakh,RU,70.6333,147.9167,51.51,36,38,9.66,scattered clouds
42,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,75,8.05,light rain
43,Castro,BR,-24.7911,-50.0119,55.51,89,86,3.44,overcast clouds
44,Avarua,CK,-21.2078,-159.775,82.45,78,17,6.91,few clouds
45,Luanda,AO,-8.8368,13.2343,70.16,88,87,6.42,overcast clouds
46,Waingapu,ID,-9.6567,120.2641,78.06,81,54,4.41,broken clouds
47,Kavieng,PG,-2.5744,150.7967,82.76,69,42,5.23,scattered clouds
48,Airai,TL,-8.9266,125.4092,61.14,85,98,2.39,overcast clouds
49,Hobart,AU,-42.8794,147.3294,52.05,67,75,9.22,broken clouds
50,Tilichiki,RU,60.4667,166.1,45.86,81,96,7.7,overcast clouds
51,Pastavy,BY,55.1168,26.8326,51.04,89,56,3.83,broken clouds
52,Ulladulla,AU,-35.35,150.4667,52.7,60,26,18.28,scattered clouds
53,Nikolskoye,RU,59.7035,30.7861,57.09,77,94,6.31,overcast clouds
54,Bossangoa,CF,6.4926,17.4552,68.68,95,86,2.08,moderate rain
55,Namatanai,PG,-3.6667,152.4333,82.53,71,71,3.29,broken clouds
56,Kruisfontein,ZA,-34.0033,24.7314,52.88,84,17,5.3,few clouds
57,Road Town,VG,18.4167,-64.6167,84.29,74,20,6.91,few clouds
